,Id_hecho,N_VICTIMAS,FECHA_x,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA_x,ACUSADO,AÑO,FECHA_y,AAAA,MM,DD,ROL,VICTIMA_y,SEXO,EDAD,FECHA_FALLECIMIENTO
320,2018-0033,1,2018-04-07,7.0,Camarones y Lope De Vega Av.,AVENIDA,10,-58.50535541,-34.62902048,MOTO-CARGAS,MOTO,CARGAS,2018,2018-04-07,2018,4,7,CONDUCTOR,MOTO,FEMENINO,42,2018-04-10 00:00:00
321,2018-0034,1,2018-04-11,18.0,Santa Fe Av. 2320,AVENIDA,2,-58.40021675,-34.59522198,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-04-11,2018,4,11,PEATON,PEATON,MASCULINO,24,2018-04-11 00:00:00
322,2018-0035,1,2018-04-12,16.0,Av. Rivadavia 6950,AVENIDA,7,-58.46325991,-34.62919627,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-04-12,2018,4,12,PEATON,PEATON,FEMENINO,39,2018-04-12 00:00:00
323,2018-0036,1,2018-04-13,23.0,Av. San Martín y Argerich,AVENIDA,15,-58.49471482,-34.59694755,MOTO-AUTO,MOTO,AUTO,2018,2018-04-13,2018,4,13,CONDUCTOR,MOTO,MASCULINO,37,2018-04-15 00:00:00
324,2018-0037,1,2018-04-18,18.0,"Cordoba Av. y Uriburu Jose E., Pres.",AVENIDA,2,-58.39872610,-34.59975962,PEATON-CARGAS,PEATON,CARGAS,2018,2018-04-18,2018,4,18,PEATON,PEATON,MASCULINO,84,2018-04-19 00:00:00
325,2018-0038,2,2018-04-20,17.0,AV. RIVADAVIA 1571,AVENIDA,1,-58.38872177,-34.60885045,PEATON-AUTO,PEATON,AUTO,2018,2018-04-20,2018,4,20,PEATON,PEATON,FEMENINO,59,2018-04-20 00:00:00
326,2018-0038,2,2018-04-20,17.0,AV. RIVADAVIA 1571,AVENIDA,1,-58.38872177,-34.60885045,PEATON-AUTO,PEATON,AUTO,2018,2018-04-20,2018,4,20,PEATON,PEATON,MASCULINO,61,2018-04-20 00:00:00
327,2018-0039,1,2018-04-21,22.0,AUTOPISTA LUGONES KM 4.7,AUTOPISTA,14,.,.,PEATON-AUTO,PEATON,AUTO,2018,2018-04-21,2018,4,21,PEATON,PEATON,MASCULINO,37,2018-04-21 00:00:00
328,2018-0040,1,2018-04-27,11.0,Ramon Freire y Virrey Olaguer y Feliu,CALLE,13,-58.45686132,-34.57305993,PEATON-CARGAS,PEATON,CARGAS,2018,2018-04-27,2018,4,27,PEATON,PEATON,FEMENINO,SD,2018-04-27 00:00:00
329,2018-0041,1,2018-04-27,13.0,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,4,-58.42281627,-34.64282424,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-04-27,2018,4,27,PEATON,PEATON,FEMENINO,78,2018-04-27 00:00:00
